DOBEC	OBEC	OKRES	PSC	DPOSTA	POSTA	KOD_OKR	KRAJ	
Brusník	Brusník	Veľký Krtíš	991 01	Senné	Senné	610	BC	
Brusno	Brusno	Banská Bystrica	976 62	Brusno	Brusno	601	BC	
Brusno	Brusno	Prievidza	972 32	Chrenovec	Chrenovec	307	TC	
Brusno - kúpele	Brusno - kúpele	Banská Bystrica	976 62	Brusno	Brusno	601	BC	
Brutovce	Brutovce	Levoča	053 73	Brutovce	Brutovce	704	PV	
Bruty	Bruty	Nové Zámky	943 55	Bruty	Bruty	404	NI	
Brvnište	Brvnište	Považská Bystrica	018 12	Brvnište	Brvnište	306	TC	
Brzotín	Brzotín	Rožňava	049 51	Brzotín	Brzotín	808	KI	
Buclovany	Buclovany	Bardejov	086 43	Koprivnica	Koprivnica	701	PV	
Búč	Búč	Komárno	946 35	Búč	Búč	401	NI	
Bučany	Bučany	Trnava	919 28	Bučany	Bučany	207	TA	
Bučina	Bučina	Námestovo	029 57	Oravská Lesná	Oravská Lesná	507	ZI	
Bučkovec	Bučkovec	Nové Mesto n.Váhom	916 42	Moravské Lieskové	Moravské Lieskové	304	TC	
Bučuháza	Bučuháza	Dunajská Streda	931 01	Šamorín	Šamorín	201	TA	
Budatín	Budatín	Žilina	010 03	Žilina 3	Žilina 3	511	ZI	
Budatínska Lehota	Budatínska Lehota	Kysucké Nové Mesto	023 36	Radoľa	Radoľa	504	ZI	
Budča	Budča	Zvolen	962 33	Budča	Budča	611	BC	
Budička	Budička	Zvolen	962 34	Tŕnie	Tŕnie	611	BC	
Budikovany	Budikovany	Rimavská Sobota	980 23	Teplý Vrch	Teplý Vrch	609	BC	
Budimír	Budimír	Košice-okolie	044 43	Budimír	Budimír	806	KI	
Budiná	Budiná	Lučenec	985 12	Tuhár	Tuhár	606	BC	
Budince	Budince	Michalovce	076 77	Ruská	Ruská	807	KI	
Budiš	Budiš	Turčianske Teplice	038 23	Dubové pri Turčianskych Tepliciach	Dubové pri Turč.Tep.	509	ZI	
Budkovce	Budkovce	Michalovce	072 15	Budkovce	Budkovce	807	KI	
Budmerice	Budmerice	Pezinok	900 86	Budmerice	Budmerice	107	BL	
Budulov	Budulov	Košice-okolie	045 01	Moldava nad Bodvou	Moldava nad Bodvou	806	KI	
Budzín	Budzín	Sabinov	082 71	Lipany nad Torysou	Lipany nad Torysou	708	PV	
Buglovce	Buglovce	Levoča	053 04	Spišské Podhradie	Spišské Podhradie	704	PV	
Bujakovo	Bujakovo	Brezno	977 01	Brezno	Brezno	603	BC	
Buková	Buková	Trnava	919 10	Buková pri Trnave	Buková pri Trnave	207	TA	
Buková	Buková	Bytča	013 61	Kotešová	Kotešová	501	ZI	
Bukovce	Bukovce	Stropkov	090 22	Bukovce	Bukovce	711	PV	
Bukovec	Bukovec	Myjava	906 14	Bukovec pri Myjave	Bukovec pri Myjave	303	TC	
Bukovec	Bukovec	Veľký Krtíš	991 02	Dolná Strehová	Dolná Strehová	610	BC	
Bukovec	Bukovec	Košice-okolie	044 20	Malá Ida	Malá Ida	806	KI	
Bukovina	Bukovina	Žiar nad Hronom	966 01	Hliník nad Hronom	Hliník nad Hronom	613	BC	
Bukovina	Bukovina	Liptovský Mikuláš	032 23	Liptovská Sielnica	Liptovská Sielnica	505	ZI	
Bukovina	Bukovina	Žarnovica	968 01	Nová Baňa	Nová Baňa	612	BC	
Bukovinka	Bukovinka	Detva	985 51	Podkriváň	Podkriváň	604	BC	
Bukovinka	Bukovinka	Levoča	053 14	Spišský Štvrtok	Spišský Štvrtok	704	PV	
Bulhary	Bulhary	Lučenec	986 01	Fiľakovo	Fiľakovo	606	BC	
Bunde	Bunde	Prešov	082 33	Chminianska Nová Ves	Chminianska Nová Ves	707	PV	
Bunetice	Bunetice	Košice-okolie	044 47	Kecerovce	Kecerovce	806	KI	
Bunkovce	Bunkovce	Sobrance	072 44	Blatné Remety	Blatné Remety	809	KI	
Bušince	Bušince	Veľký Krtíš	991 22	Bušince	Bušince	610	BC	
Bušovce	Bušovce	Kežmarok	059 93	Bušovce	Bušovce	703	PV	
Búštelek	Búštelek	Dunajská Streda	930 39	Zlaté Klasy	Zlaté Klasy	201	TA	
Butty	Butty	Čadca	022 04	Čadca 4	Čadca 4	502	ZI	
Buzica	Buzica	Košice-okolie	044 73	Buzica	Buzica	806	KI	
Buzice	Buzice	Košice-okolie	044 13	Valaliky	Valaliky	806	KI	
Buzitka	Buzitka	Lučenec	985 41	Šávoľ	Šávoľ	606	BC	
Byster	Byster	Košice-okolie	044 41	Sady nad Torysou	Sady nad Torysou	806	KI	
Bystrá	Bystrá	Brezno	977 01	Brezno	Brezno	603	BC	
Bystrá	Bystrá	Stropkov	090 23	Havaj	Havaj	711	PV	
Bystrany	Bystrany	Spišská Nová Ves	053 62	Bystrany pri Spišskej Novej Vsi	Bystrany pri S.N.Vsi	810	KI	
Bystré	Bystré	Vranov nad Topľou	094 34	Bystré nad Topľou	Bystré nad Topľou	713	PV	
Bystričany	Bystričany	Prievidza	972 45	Bystričany	Bystričany	307	TC	
Bystrička	Bystrička	Martin	038 04	Bystrička	Bystrička	506	ZI	
Bystrička	Bystrička	Komárno	946 38	Radvaň nad Dunajom	Radvaň nad Dunajom	401	NI	
Bystrička	Bystrička	Poltár	985 24	Rovňany	Rovňany	607	BC	
Byšta	Byšta	Trebišov	076 13	Kazimír	Kazimír	811	KI	
Bytča	Bytča	Bytča	014 01	Bytča 1	Bytča 1	501	ZI	
Bytčica	Bytčica	Žilina	010 09	Žilina 9	Žilina 9	511	ZI	
Bzenica	Bzenica	Žiar nad Hronom	966 01	Hliník nad Hronom	Hliník nad Hronom	613	BC	
Bzenov	Bzenov	Prešov	082 42	Bzenov	Bzenov	707	PV	
Bzince	Bzince	Topoľčany	956 05	Radošina	Radošina	406	NI	
Bzince pod Javorinou	Bzince pod Javorinou	Nové Mesto n.Váhom	916 11	Bzince pod Javorinou	Bzince pod Javorinou	304	TC	
Bziny	Bziny	Dolný Kubín	026 01	Dolný Kubín 1	Dolný Kubín 1	503	ZI	
Bzovík	Bzovík	Krupina	962 41	Bzovík	Bzovík	605	BC	
Bzovská Lehôtka	Bzovská Lehôtka	Zvolen	962 62	Sása	Sása	611	BC	
Bžany	Bžany	Stropkov	090 33	Turany nad Ondavou	Turany nad Ondavou	711	PV	
Cabaj	Cabaj	Nitra	951 17	Cabaj- Čápor	Cabaj- Čápor	403	NI	
Cabaj - Čápor	Cabaj - Čápor	Nitra	951 17	Cabaj- Čápor	Cabaj- Čápor	403	NI	
Cabov	Cabov	Vranov nad Topľou	094 14	Sečovská Polianka	Sečovská Polianka	713	PV	
Cakov	Cakov	Rimavská Sobota	980 42	Rimavská Seč	Rimavská Seč	609	BC	
Cejkov	Cejkov	Trebišov	076 05	Cejkov	Cejkov	811	KI	
Celulózka	Celulózka	Žilina	010 01	Žilina 1	Žilina 1	511	ZI	
Cemjata	Cemjata	Prešov	080 01	Prešov 1	Prešov 1	707	PV	
Cernina	Cernina	Svidník	090 16	Cernina	Cernina	712	PV	
Cerová	Cerová	Senica	906 33	Cerová	Cerová	205	TA	
Cerová	Cerová	Prievidza	972 48	Horná Ves	Horná Ves	307	TC	
Ceroviny	Ceroviny	Nitra	951 24	Nové Sady pri Nitre	Nové Sady pri Nitre	403	NI	
Cerovo	Cerovo	Krupina	962 52	Cerovo pri Krupine	Cerovo pri Krupine	605	BC	
Cestice	Cestice	Košice-okolie	044 71	Čečejovce	Čečejovce	806	KI	
Cetuna	Cetuna	Nové Mesto n.Váhom	916 11	Bzince pod Javorinou	Bzince pod Javorinou	304	TC	
Cífer	Cífer	Trnava	919 43	Cífer	Cífer	207	TA	
Cigeľ	Cigeľ	Prievidza	971 01	Prievidza 1	Prievidza 1	307	TC	
Cigeľka	Cigeľka	Bardejov	086 02	Gaboltov	Gaboltov	701	PV	
Cigla	Cigla	Svidník	086 37	Šarišské Čierne	Šarišské Čierne	712	PV	
Cimenná	Cimenná	Bánovce nad Bebravou	956 37	Zlatníky pri Bánovciach nad Bebravou	Zlatníky pri Bánov.	301	TC	
Cinobaňa	Cinobaňa	Poltár	985 22	Cinobaňa	Cinobaňa	607	BC	
Cunín	Cunín	Skalica	908 48	Kopčany	Kopčany	206	TA	
Čab	Čab	Nitra	951 24	Nové Sady pri Nitre	Nové Sady pri Nitre	403	NI	
Čabalovce	Čabalovce	Medzilaborce	067 16	Výrava	Výrava	705	PV	
Čabiny	Čabiny	Medzilaborce	067 02	Čabiny	Čabiny	705	PV	
Čabradský Vrbovok	Čabradský Vrbovok	Krupina	962 51	Čabradský Vrbovok	Čabradský Vrbovok	605	BC	
Čačín	Čačín	Banská Bystrica	974 01	Banská Bystrica 1	Banská Bystrica 1	601	BC	
Čáčov	Čáčov	Senica	905 01	Senica 1	Senica 1	205	TA	
Čadca	Čadca	Čadca			Pozri zoz.ulíc s PSČ	502	ZI	
Čadca - Kyčerka	Čadca - Kyčerka	Čadca	022 04	Čadca 4	Čadca 4	502	ZI	
Čadečka	Čadečka	Čadca	022 01	Čadca 1	Čadca 1	502	ZI	
Čachtice	Čachtice	Nové Mesto n.Váhom	916 21	Čachtice	Čachtice	304	TC	
Čajakovo	Čajakovo	Levice	935 61	Hronovce	Hronovce	402	NI	
Čajkov	Čajkov	Levice	935 24	Čajkov	Čajkov	402	NI	
Čaka	Čaka	Levice	935 68	Čaka	Čaka	402	NI	
Čakajovce	Čakajovce	Nitra	951 43	Jelšovce	Jelšovce	403	NI	
Čakanovce	Čakanovce	Košice-okolie	044 45	Bidovce	Bidovce	806	KI	
Čakanovce	Čakanovce	Lučenec	985 58	Radzovce	Radzovce	606	BC	
Čakany	Čakany	Dunajská Streda	930 40	Štvrtok na Ostrove	Štvrtok na Ostrove	201	TA	
Čaklov	Čaklov	Vranov nad Topľou	094 35	Soľ	Soľ	713	PV	
Čalovec	Čalovec	Komárno	946 02	Čalovec	Čalovec	401	NI	
Čamovce	Čamovce	Lučenec	986 01	Fiľakovo	Fiľakovo	606	BC	
Čaňa	Čaňa	Košice-okolie	044 14	Čaňa	Čaňa	806	KI	
Čankov	Čankov	Levice	934 01	Levice 1	Levice 1	402	NI	
Čápor	Čápor	Nitra	951 17	Cabaj- Čápor	Cabaj- Čápor	403	NI	
Čaradice	Čaradice	Zlaté Moravce	953 01	Zlaté Moravce 1	Zlaté Moravce 1	407	NI	
Čáry	Čáry	Senica	908 43	Čáry	Čáry	205	TA	
Častá	Častá	Pezinok	900 89	Častá	Častá	107	BL	
Částa	Částa	Komárno	946 03	Kolárovo	Kolárovo	401	NI	
Častkov	Častkov	Senica	906 04	Rohov	Rohov	205	TA	
Častkovce	Častkovce	Nové Mesto n.Váhom	916 27	Častkovce	Častkovce	304	TC	
Čata	Čata	Levice	935 63	Čata	Čata	402	NI	
Čataj	Čataj	Senec	900 83	Čataj	Čataj	108	BL	
Čavoj	Čavoj	Prievidza	972 29	Čavoj	Čavoj	307	TC	
Čebovce	Čebovce	Veľký Krtíš	991 25	Čebovce	Čebovce	610	BC	
Čečehov	Čečehov	Michalovce	072 11	Čečehov	Čečehov	807	KI	
Čečejovce	Čečejovce	Košice-okolie	044 71	Čečejovce	Čečejovce	806	KI	
Čečínska Potôň	Čečínska Potôň	Dunajská Streda	930 36	Horná Potôň	Horná Potôň	201	TA	
Čechánky	Čechánky	Detva	985 45	Látky	Látky	604	BC	
Čechová	Čechová	Dunajská Streda	930 34	Holice na Ostrove	Holice na Ostrove	201	TA	
Čechy	Čechy	Nové Zámky	941 32	Semerovo	Semerovo	404	NI	
Čechynce	Čechynce	Nitra	951 07	Čechynce	Čechynce	403	NI	
Čekovce	Čekovce	Krupina	962 41	Bzovík	Bzovík	605	BC	
Čeľadice	Čeľadice	Nitra	951 03	Čeľadice	Čeľadice	403	NI	
Čeľadince	Čeľadince	Topoľčany	956 16	Nitrianska Streda	Nitrianska Streda	406	NI	
Čeláre	Čeláre	Veľký Krtíš	991 22	Bušince	Bušince	610	BC	
Čelkova Lehota	Čelkova Lehota	Považská Bystrica	018 16	Domaniža	Domaniža	306	TC	
Čelovce	Čelovce	Veľký Krtíš	991 41	Čelovce	Čelovce	610	BC	
Čelovce	Čelovce	Prešov	082 14	Pušovce	Pušovce	707	PV	
Čeľovce	Čeľovce	Trebišov	076 17	Nižný Žipov	Nižný Žipov	811	KI	
Čemerné	Čemerné	Vranov nad Topľou	093 03	Vranov nad Topľou 3	Vranov nad Topľou 3	713	PV	
Čenkesfa	Čenkesfa	Dunajská Streda	929 01	Dunajská Streda 1	Dunajská Streda 1	201	TA	
Čenkov	Čenkov	Nové Zámky	943 52	Mužla	Mužla	404	NI	
Čenkovce	Čenkovce	Dunajská Streda	930 39	Zlaté Klasy	Zlaté Klasy	201	TA	
Čereňany	Čereňany	Prievidza	972 46	Čereňany	Čereňany	307	TC	
Čerenčany	Čerenčany	Rimavská Sobota	979 01	Rimavská Sobota 1	Rimavská Sobota 1	609	BC	
Čergov	Čergov	Komárno	945 01	Komárno 1	Komárno 1	401	NI	
Čerhát	Čerhát	Komárno	945 04	Komárno 4	Komárno 4	401	NI	
Čerhov	Čerhov	Trebišov	076 81	Čerhov	Čerhov	811	KI	
Čerín	Čerín	Banská Bystrica	974 01	Banská Bystrica 1	Banská Bystrica 1	601	BC	
Čermáň	Čermáň	Nitra	949 01	Nitra 1	Nitra 1	403	NI	
Čermany	Čermany	Topoľčany	956 08	Horné Obdokovce	Horné Obdokovce	406	NI	
Černík	Černík	Nové Zámky	941 05	Černík	Černík	404	NI	
Černina	Černina	Humenné	067 23	Baškovce pri Humennom	Baškovce pri Humen.	702	PV	
Černochov	Černochov	Trebišov	076 32	Borša	Borša	811	KI	
Černochov Vrch	Černochov Vrch	Nové Mesto n.Váhom	916 01	Stará Turá	Stará Turá	304	TC	
Černová	Černová	Ružomberok	034 06	Ružomberok 6	Ružomberok 6	508	ZI	
Čertižné	Čertižné	Medzilaborce	067 52	Habura	Habura	705	PV	
Červeň	Červeň	Poltár	985 02	Breznička	Breznička	607	BC	
Červená Skala	Červená Skala	Brezno	976 71	Šumiac	Šumiac	603	BC	
Červená Voda	Červená Voda	Sabinov	083 01	Sabinov	Sabinov	708	PV	
Červeňany	Červeňany	Veľký Krtíš	991 01	Senné	Senné	610	BC	
Červeňany	Červeňany	Revúca	049 64	Sirk	Sirk	608	BC	
Červenica	Červenica	Prešov	082 07	Tuhrina	Tuhrina	707	PV	
Červenica pri Sabinove	Červenica pri Sabin.	Sabinov	082 56	Pečovská Nová Ves	Pečovská Nová Ves	708	PV	
Červeník	Červeník	Hlohovec	920 42	Červeník	Červeník	203	TA	
Červený Hrádok	Červený Hrádok	Zlaté Moravce	951 82	Malé Vozokany	Malé Vozokany	407	NI	
Červený Kameň	Červený Kameň	Pezinok	900 89	Častá	Častá	107	BL	
Červený Kameň	Červený Kameň	Ilava	018 56	Červený Kameň	Červený Kameň	302	TC	
Červený Kláštor	Červený Kláštor	Kežmarok	059 06	Červený Kláštor	Červený Kláštor	703	PV	
Červený Kláštor - kúpele	Červený Kláštor-kúp.	Kežmarok	059 06	Červený Kláštor	Červený Kláštor	703	PV	
České Brezovo	České Brezovo	Poltár	985 03	České Brezovo	České Brezovo	607	BC	
Čiakov	Čiakov	Bytča	013 54	Kolárovice	Kolárovice	501	ZI	
Čičarovce	Čičarovce	Michalovce	076 71	Čičarovce	Čičarovce	807	KI	
Čičava	Čičava	Vranov nad Topľou	093 01	Vranov nad Topľou 1	Vranov nad Topľou 1	713	PV	
Čičmany	Čičmany	Žilina	013 15	Rajecká Lesná	Rajecká Lesná	511	ZI	
Číčov	Číčov	Komárno	946 19	Číčov	Číčov	401	NI	
Čierna	Čierna	Trebišov	076 43	Čierna nad Tisou	Čierna nad Tisou	811	KI	
Čierna Hora	Čierna Hora	Gelnica	053 33	Nálepkovo	Nálepkovo	801	KI	
Čierna Lehota	Čierna Lehota	Bánovce nad Bebravou	956 53	Slatina nad Bebravou	Slatina nad Bebravou	301	TC	
Čierna Lehota	Čierna Lehota	Rožňava	049 36	Slavošovce	Slavošovce	808	KI	
Čierna nad Tisou	Čierna nad Tisou	Trebišov	076 43	Čierna nad Tisou	Čierna nad Tisou	811	KI	
Čierna Voda	Čierna Voda	Galanta	925 06	Čierna Voda	Čierna Voda	202	TA	
Čierne	Čierne	Čadca	023 13	Čierne pri Čadci	Čierne pri Čadci	502	ZI	
Čierne	Čierne	Čadca	023 56	Makov na Slovensku	Makov na Slovensku	502	ZI	
Čierne	Čierne	Bytča	013 55	Štiavnik	Štiavnik	501	ZI	
Čierne Kľačany	Čierne Kľačany	Zlaté Moravce	953 05	Zlaté Moravce 5	Zlaté Moravce 5	407	NI	
Čierne nad Topľou	Čierne nad Topľou	Vranov nad Topľou	094 34	Bystré nad Topľou	Bystré nad Topľou	713	PV	
Čierne Pole	Čierne Pole	Michalovce	079 01	Veľké Kapušany	Veľké Kapušany	807	KI	
Čierny Balog	Čierny Balog	Brezno	976 52	Čierny Balog	Čierny Balog	603	BC	
Čierny Brod	Čierny Brod	Galanta	925 08	Čierny Brod	Čierny Brod	202	TA	
Čierny Chrbát	Čierny Chrbát	Komárno	946 03	Kolárovo	Kolárovo	401	NI	
Čierny Potok	Čierny Potok	Rimavská Sobota	980 31	Hodejov	Hodejov	609	BC	
Čierny Váh	Čierny Váh	Liptovský Mikuláš	032 33	Kráľova Lehota	Kráľova Lehota	505	ZI	
Čifáre	Čifáre	Nitra	951 61	Čifáre	Čifáre	403	NI	
Čiky	Čiky	Nové Zámky	941 11	Palárikovo	Palárikovo	404	NI	
Čilistov	Čilistov	Dunajská Streda	931 01	Šamorín	Šamorín	201	TA	
Čiližská Radvaň	Čiližská Radvaň	Dunajská Streda	930 08	Čiližská Radvaň	Čiližská Radvaň	201	TA	
Čimhová	Čimhová	Tvrdošín	027 12	Liesek	Liesek	510	ZI	
Čirč	Čirč	Stará Ľubovňa	065 42	Čirč	Čirč	710	PV	
Číž	Číž	Rimavská Sobota	980 43	Číž	Číž	609	BC	
Číž - kúpele	Číž - kúpele	Rimavská Sobota	980 43	Číž	Číž	609	BC	
Čižatice	Čižatice	Košice-okolie	044 47	Kecerovce	Kecerovce	806	KI	
Čoltovo	Čoltovo	Rožňava	049 12	Gemerská Hôrka	Gemerská Hôrka	808	KI	
Čremošné	Čremošné	Turčianske Teplice	039 01	Turčianske Teplice	Turčianske Teplice	509	ZI	
Čučma	Čučma	Rožňava	048 01	Rožňava 1	Rožňava 1	808	KI	
Čukalovce	Čukalovce	Snina	067 35	Pčoliné	Pčoliné	709	PV	
Čukárska Paka	Čukárska Paka	Dunajská Streda	930 51	Veľká Paka	Veľká Paka	201	TA	
Čuklasovce	Čuklasovce	Bánovce nad Bebravou	956 54	Veľké Držkovce	Veľké Držkovce	301	TC	
Ďačov	Ďačov	Sabinov	082 71	Lipany nad Torysou	Lipany nad Torysou	708	PV	
Dačov Lom	Dačov Lom	Veľký Krtíš	991 35	Dačov Lom	Dačov Lom	610	BC	
Daletice	Daletice	Sabinov	082 63	Jarovnice	Jarovnice	708	PV	
Dancov Potok	Dancov Potok	Trebišov	076 12	Kuzmice	Kuzmice	811	KI	
Danišovce	Danišovce	Spišská Nová Ves	053 22	Odorín	Odorín	810	KI	
Ďanová	Ďanová	Martin	038 42	Príbovce	Príbovce	506	ZI	
Ďapalovce	Ďapalovce	Vranov nad Topľou	094 05	Holčíkovce	Holčíkovce	713	PV	
Dargov	Dargov	Trebišov	076 61	Bačkov	Bačkov	811	KI	
Davidov	Davidov	Vranov nad Topľou	093 03	Vranov nad Topľou 3	Vranov nad Topľou 3	713	PV	
Debraď	Debraď	Košice-okolie	045 01	Moldava nad Bodvou	Moldava nad Bodvou	806	KI	
Dedačov	Dedačov	Humenné	067 12	Koškovce	Koškovce	702	PV	
Dedina Mládeže	Dedina Mládeže	Komárno	946 03	Kolárovo	Kolárovo	401	NI	
Dedinka	Dedinka	Nové Zámky	941 50	Dedinka	Dedinka	404	NI	
Dedinka pri Dunaji	Dedinka pri Dunaji	Senec	900 29	Nová Dedinka	Nová Dedinka	108	BL	
Dedinky	Dedinky	Rožňava	049 73	Dedinky	Dedinky	808	KI	
Dechtice	Dechtice	Trnava	919 53	Dechtice	Dechtice	207	TA	
Dekýš	Dekýš	Banská Štiavnica	969 01	Banská Štiavnica 1	Banská Štiavnica 1	602	BC	
Delava	Delava	Spišská Nová Ves	053 75	Hnilec	Hnilec	810	KI	
Demandice	Demandice	Levice	935 85	Demandice	Demandice	402	NI	
Demänová	Demänová	Liptovský Mikuláš	031 01	Liptovský Mikuláš 1	Liptovský Mikuláš 1	505	ZI	
Demänová	Demänová	Námestovo	029 57	Oravská Lesná	Oravská Lesná	507	ZI	
Demänovská Dolina	Demänovská Dolina	Liptovský Mikuláš	031 01	Liptovský Mikuláš 1	Liptovský Mikuláš 1	505	ZI	
Demjata	Demjata	Prešov	082 13	Tulčík	Tulčík	707	PV	
Demkovská	Demkovská	Dolný Kubín	027 05	Zázrivá	Zázrivá	503	ZI	
Dešná	Dešná	Púchov	020 54	Lysá pod Makytou	Lysá pod Makytou	308	TC	
Detrík	Detrík	Vranov nad Topľou	094 31	Hanušovce nad Topľou	Hanušovce nad Topľou	713	PV	
Detva	Detva	Detva	962 12	Detva-Sídlisko	Detva-Sídlisko	604	BC	
Detva - sídlisko	Detva - sídlisko	Detva	962 12	Detva-Sídlisko	Detva-Sídlisko	604	BC	
Detvianska Huta	Detvianska Huta	Detva	962 05	Hriňová	Hriňová	604	BC	
Devičany	Devičany	Levice	935 04	Devičany	Devičany	402	NI	
Devičie	Devičie	Krupina	962 65	Hontianske Nemce	Hontianske Nemce	605	BC	
Dežerice	Dežerice	Bánovce nad Bebravou	957 03	Bánovce nad Bebravou 1	Bánovce nad Beb. 1	301	TC	
Diaková	Diaková	Martin	038 02	Dražkovce pri Martine	Dražkovce pri Mart.	506	ZI	
Diakovce	Diakovce	Šaľa	925 81	Diakovce	Diakovce	405	NI	
Didka	Didka	Čadca	022 01	Čadca 1	Čadca 1	502	ZI	
Diel	Diel	Lučenec	985 53	Mýtna	Mýtna	606	BC	
Diva	Diva	Nové Zámky	943 42	Gbelce	Gbelce	404	NI	
Diviacka Nová Ves	Diviacka Nová Ves	Prievidza	972 24	Diviacka Nová Ves	Diviacka Nová Ves	307	TC	
Diviaky	Diviaky	Turčianske Teplice	039 01	Turčianske Teplice	Turčianske Teplice	509	ZI	
Diviaky nad Nitricou	Diviaky nad Nitricou	Prievidza	972 25	Diviaky nad Nitricou	Diviaky nad Nitricou	307	TC	
Divín	Divín	Lučenec	985 52	Divín	Divín	606	BC	
Divina	Divina	Žilina	013 31	Divina	Divina	511	ZI	
Divinka	Divinka	Žilina	013 31	Divina	Divina	511	ZI	
Divínske Lazy	Divínske Lazy	Lučenec	985 52	Divín	Divín	606	BC	
Dlhá	Dlhá	Trnava	919 01	Suchá nad Parnou	Suchá nad Parnou	207	TA	
Dlhá Lúka	Dlhá Lúka	Bardejov	085 01	Bardejov 1	Bardejov 1	701	PV	
Dlhá Lúka	Dlhá Lúka	Liptovský Mikuláš	032 23	Liptovská Sielnica	Liptovská Sielnica	505	ZI	
Dlhá nad Kysucou	Dlhá nad Kysucou	Čadca	023 54	Turzovka	Turzovka	502	ZI	
Dlhá nad Oravou	Dlhá nad Oravou	Dolný Kubín	027 55	Dlhá nad Oravou	Dlhá nad Oravou	503	ZI	
Dlhá nad Váhom	Dlhá nad Váhom	Šaľa	927 05	Šaľa 5	Šaľa 5	405	NI	
Dlhá Ves	Dlhá Ves	Rožňava	049 55	Dlhá Ves	Dlhá Ves	808	KI	
Dlhé Klčovo	Dlhé Klčovo	Vranov nad Topľou	094 13	Sačurov	Sačurov	713	PV	
Dlhé nad Cirochou	Dlhé nad Cirochou	Snina	067 82	Dlhé nad Cirochou	Dlhé nad Cirochou	709	PV	
Dlhé Pole	Dlhé Pole	Žilina	013 32	Dlhé Pole	Dlhé Pole	511	ZI	
Dlhé Stráže	Dlhé Stráže	Levoča	054 01	Levoča	Levoča	704	PV	
Dlhoňa	Dlhoňa	Svidník	090 02	Kružlová	Kružlová	712	PV	
Dlžín	Dlžín	Prievidza	972 26	Nitrianske Rudno	Nitrianske Rudno	307	TC	
Dobogov	Dobogov	Košice-okolie	044 71	Čečejovce	Čečejovce	806	KI	
Dobogov	Dobogov	Levice	935 56	Mýtne Ludany	Mýtne Ludany	402	NI	
Dobrá	Dobrá	Trebišov	076 41	Biel	Biel	811	KI	
Dobrá	Dobrá	Trenčín	914 01	Trenčianska Teplá	Trenčianska Teplá	309	TC	
Dobrá Niva	Dobrá Niva	Zvolen	962 61	Dobrá Niva	Dobrá Niva	611	BC	
Dobrá Voda	Dobrá Voda	Trnava	919 54	Dobrá Voda pri Trnave	Dobrá Voda pri Trn.	207	TA	
Dobrá Voľa	Dobrá Voľa	Spišská Nová Ves	053 61	Spišské Vlachy	Spišské Vlachy	810	KI	
Dobrianky	Dobrianky	Vranov nad Topľou	094 23	Merník	Merník	713	PV	
Dobroč	Dobroč	Brezno	976 52	Čierny Balog	Čierny Balog	603	BC	
Dobroč	Dobroč	Lučenec	985 53	Mýtna	Mýtna	606	BC	
Dobročná	Dobročná	Prievidza	972 27	Liešťany	Liešťany	307	TC	
Dobrohošť	Dobrohošť	Dunajská Streda	930 31	Vojka nad Dunajom	Vojka nad Dunajom	201	TA	
Dobroslava	Dobroslava	Svidník	090 01	Kapišová	Kapišová	712	PV	
Dobrý Potok	Dobrý Potok	Poltár	985 26	Málinec	Málinec	607	BC	
Dobšiná	Dobšiná	Rožňava	049 25	Dobšiná	Dobšiná	808	KI	
Dobšinská Ľadová Jaskyňa	Dobšin. Ľad. Jaskyňa	Rožňava	049 71	Dobšinská Ľadová Jaskyňa	Dobšin.Ľad.Jaskyňa	808	KI	
Dobšinská Maša	Dobšinská Maša	Rožňava	049 73	Dedinky	Dedinky	808	KI	
Dohňany	Dohňany	Púchov	020 51	Dohňany	Dohňany	308	TC	
Dojč	Dojč	Senica	906 02	Dojč	Dojč	205	TA	
Doľany	Doľany	Pezinok	900 88	Doľany pri Častej	Doľany pri Častej	107	BL	
Doľany	Doľany	Levoča	053 02	Spišský Hrhov	Spišský Hrhov	704	PV	
Dolina	Dolina	Prešov	082 38	Víťaz	Víťaz	707	PV	
Dolina	Dolina	Dolný Kubín	027 05	Zázrivá	Zázrivá	503	ZI	
Dolinka	Dolinka	Veľký Krtíš	991 28	Vinica	Vinica	610	BC	
Dolinky	Dolinky	Púchov	020 53	Lúky	Lúky	308	TC	
Dolinky	Dolinky	Zvolen	962 63	Pliešovce 1	Pliešovce 1	611	BC	
Dolinky	Dolinky	Bytča	013 62	Veľké Rovné	Veľké Rovné	501	ZI	
Dolná Breznica	Dolná Breznica	Púchov	020 61	Lednické Rovne	Lednické Rovne	308	TC	
Dolná Bzová	Dolná Bzová	Detva	985 51	Podkriváň	Podkriváň	604	BC	
Dolná Krupá	Dolná Krupá	Trnava	919 65	Dolná Krupá	Dolná Krupá	207	TA	
Dolná Lehota	Dolná Lehota	Brezno	976 98	Lopej	Lopej	603	BC	
Dolná Lehota	Dolná Lehota	Dolný Kubín	027 41	Oravský Podzámok	Oravský Podzámok	503	ZI	
Dolná Mariková	Dolná Mariková	Považská Bystrica	018 02	Dolná Mariková	Dolná Mariková	306	TC	
Dolná Mičiná	Dolná Mičiná	Banská Bystrica	974 01	Banská Bystrica 1	Banská Bystrica 1	601	BC	
Dolná Môlča	Dolná Môlča	Banská Bystrica	974 01	Banská Bystrica 1	Banská Bystrica 1	601	BC	
Dolná Poruba	Dolná Poruba	Trenčín	914 43	Omšenie	Omšenie	309	TC	
